#MatchID,NumFilters,RAh,RAm,RAs,Decd,Decm,Decs,W3_F438W,W3_F438W_Sigma,W3_F555W,W3_F555W_Sigma,W3_F814W,W3_F814W_Sigma
1938159,2,13,37,00.917,-29,52,03.72,22.533,0.000,,,,
1926779,3,13,37,00.326,-29,51,56.78,21.277,0.000,,,,
1935232,3,13,37,01.076,-29,52,03.58,21.390,0.000,,,,
1928387,3,13,37,01.090,-29,52,03.56,21.681,0.000,,,,
1938868,2,13,37,00.973,-29,52,03.75,,,,,,
1926759,3,13,37,00.319,-29,51,56.50,,,21.529,0.000,,
1920063,2,13,37,00.349,-29,51,52.76,23.110,0.000,,,,
1926667,4,13,37,01.123,-29,51,47.54,23.062,0.000,,,,
2173863,9,13,37,01.580,-29,51,54.11,22.183,0.253,21.346,0.032,20.713,0.000
1924239,2,13,37,00.313,-29,51,56.26,21.685,0.000,,,,
1933667,3,13,37,01.578,-29,51,57.10,,,23.504,0.000,22.980,0.000
2159686,2,13,37,00.669,-29,51,48.03,,,23.896,0.000,23.435,0.000
1935812,2,13,37,01.583,-29,51,56.84,23.395,0.000,,,,
1921680,3,13,37,00.315,-29,51,54.41,23.689,0.000,22.484,0.000,,
1935505,3,13,37,00.813,-29,52,03.66,19.574,0.000,,,,
1927529,2,13,37,00.321,-29,51,57.20,,,,,,
1931935,3,13,37,00.656,-29,52,02.95,21.590,0.000,,,,
1935122,4,13,37,01.454,-29,51,50.30,23.695,0.000,22.995,0.000,22.354,0.000
1924844,3,13,37,00.309,-29,51,54.69,23.238,0.000,22.113,0.000,,
1925040,6,13,37,01.145,-29,51,47.51,,,22.497,0.000,22.033,0.000
1930883,3,13,37,00.452,-29,52,00.85,20.575,0.000,,,,
1936743,2,13,37,01.513,-29,51,51.40,23.775,0.103,,,,
1921960,12,13,37,00.341,-29,51,58.32,16.327,0.000,16.191,0.000,,
1938597,2,13,37,00.886,-29,52,03.87,21.733,0.000,,,,
1939205,3,13,37,01.148,-29,52,03.51,23.132,0.000,,,,
1934483,3,13,37,00.686,-29,52,03.19,22.104,0.000,,,,
1937063,2,13,37,01.178,-29,52,03.40,23.837,0.000,,,,
1926096,5,13,37,01.072,-29,51,47.23,23.628,0.000,22.862,0.000,22.169,0.000
1923622,2,13,37,00.310,-29,51,54.12,24.142,0.000,,,,
1931341,3,13,37,00.858,-29,52,03.86,21.569,0.000,,,,
1933415,3,13,37,00.731,-29,52,03.46,21.726,0.000,,,,
1935344,3,13,37,01.600,-29,51,55.60,24.238,0.000,23.819,0.000,23.263,0.000
1936129,3,13,37,00.895,-29,52,03.93,21.198,0.000,,,,
1923496,2,13,37,00.330,-29,51,52.98,22.656,0.000,,,,
1932648,2,13,37,00.624,-29,52,02.83,,,,,,
1925224,2,13,37,00.300,-29,51,55.95,23.375,0.000,,,,
1927508,6,13,37,00.309,-29,51,56.95,20.601,0.000,20.374,0.000,,
1930621,2,13,37,00.440,-29,52,00.78,21.343,0.000,,,,
1922009,3,13,37,01.281,-29,51,48.21,25.302,0.000,24.667,0.000,24.477,0.000
